S.No.,Log File,spark_driver_start_time, state_accept_epoch (s), state_running_time, state_running_epoch (s),Waiting Time (in Seconds),Driver Memory,Executor Memory,Memory Store Capacity,Job Result
42,application_1513303661803_22070_asrd.cp.big.data.services.team.log,1513749511, 17/12/20 05:58:36,1513749516,5, 17/12/20 05:58:27, 12g, 6144M, 8.4GB, Job completed successfully
43,application_1513303661803_18982_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
44,application_1513303661803_22181_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
45,application_1513303661803_19045_asrd.cp.big.data.services.team.log,1513652536, 17/12/19 03:02:20,1513652540,4, 17/12/19 03:02:12, 20G, 10G, 14.2GB, Job failed
46,application_1513303661803_25535_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
47,application_1513303661803_25698_asrd.cp.big.data.services.team.log,1513839980, 17/12/21 07:06:25,1513839985,5, 17/12/21 07:06:16, 12g, 6144M, 8.4GB, Job completed successfully
48,application_1513303661803_19731_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
49,application_1513303661803_21371_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
50,application_1513303661803_18601_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
51,application_1513303661803_18883_asrd.cp.big.data.services.team.log,1513649811, 17/12/19 02:16:59,1513649819,8, 17/12/19 02:16:45, 15G, 12G, 10.6GB, Job completed successfully
52,application_1513303661803_21441_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
53,application_1513303661803_20082_asrd.cp.big.data.services.team.log,1513700684, 17/12/19 16:24:49,1513700689,5, 17/12/19 16:24:41, 12g, 6144M, 8.4GB, Job completed successfully
54,application_1513303661803_19574_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
55,application_1513303661803_20166_asrd.cp.big.data.services.team.log,1513702790, 17/12/19 16:59:55,1513702795,5, 17/12/19 16:59:46, 12g, 6144M, 8.4GB, Job completed successfully
56,application_1513303661803_23605_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
57,application_1513303661803_23332_asrd.cp.big.data.services.team.log,1513786032, 17/12/20 16:07:22,1513786042,10, 17/12/20 16:07:08, 12g, 6144M, 8.4GB, Job completed successfully
58,application_1513303661803_25796_asrd.cp.big.data.services.team.log,1513847058, 17/12/21 09:04:23,1513847063,5, 17/12/21 09:04:13, 12g, 6144M, 8.4GB, Job completed successfully
59,application_1513303661803_23991_asrd.cp.big.data.services.team.log,1513792895, 17/12/20 18:01:40,1513792900,5, 17/12/20 18:01:33, 12g, 6144M, 8.4GB, Job completed successfully
60,application_1513303661803_19578_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
61,application_1513303661803_23496_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
62,application_1513303661803_23443_asrd.cp.big.data.services.team.log,1513786570, 17/12/20 16:16:15,1513786575,5, 17/12/20 16:16:07, 12g, 10G, 8.4GB, Job completed successfully
63,application_1513303661803_23765_asrd.cp.big.data.services.team.log,1513790162, 17/12/20 17:16:07,1513790167,5, 17/12/20 17:15:57, 15G, 8G, 10.6GB, Job completed successfully
64,application_1513303661803_20785_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
65,application_1513303661803_21822_asrd.cp.big.data.services.team.log,1513744114, 17/12/20 04:28:40,1513744120,6, 17/12/20 04:28:30, 20G, 10G, 14.2GB, Job completed successfully
66,application_1513303661803_21199_asrd.cp.big.data.services.team.log,1513731716, 17/12/20 01:02:01,1513731721,5, 17/12/20 01:01:52, 512M, 512M, 143.6MB, Job completed successfully
67,application_1513303661803_25212_asrd.cp.big.data.services.team.log,1513822709, 17/12/21 02:18:40,1513822720,11, 17/12/21 02:18:25, 12g, 6144M, 8.4GB, Job completed successfully
68,application_1513303661803_20258_asrd.cp.big.data.services.team.log,1513704747, 17/12/19 17:32:32,1513704752,5, 17/12/19 17:32:23, 2G, 10G, 1247.6MB, Job completed successfully
69,application_1513303661803_21812_asrd.cp.big.data.services.team.log,1513743598, 17/12/20 04:20:06,1513743606,8, 17/12/20 04:19:52, 12g, 1G, 8.4GB, Job completed successfully
70,application_1513303661803_19559_asrd.cp.big.data.services.team.log,1513677648, 17/12/19 10:00:53,1513677653,5, 17/12/19 10:00:45, 512M, 512M, 143.6MB, Job completed successfully
71,application_1513303661803_22371_asrd.cp.big.data.services.team.log,1513753284, 17/12/20 07:01:30,1513753290,6, 17/12/20 07:01:18, 512M, 512M, 143.6MB, Job completed successfully
72,application_1513303661803_18544_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
73,application_1513303661803_19241_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
74,application_1513303661803_26208_asrd.cp.big.data.services.team.log,1513871287, 17/12/21 15:48:16,1513871296,9, 17/12/21 15:48:00, 12G, 1G, 8.4GB, Job completed successfully
75,application_1513303661803_24431_sai.medikonda.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
76,application_1513303661803_20217_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
77,application_1513303661803_22746_asrd.cp.big.data.services.team.log,1513771270, 17/12/20 12:01:15,1513771275,5, 17/12/20 12:01:05, 512M, 512M, 143.6MB, Job completed successfully
78,application_1513303661803_20183_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
79,application_1513303661803_24472_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
80,application_1513303661803_24021_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
81,application_1513303661803_28012_asrd.cp.big.data.services.team.log,1513940668, 17/12/22 11:04:34,1513940674,6, 17/12/22 11:04:24, 12g, 6144M, 8.4GB, Job completed successfully
82,application_1513303661803_20514_asrd.cp.big.data.services.team.log,1513713661, 17/12/19 20:01:06,1513713666,5, 17/12/19 20:00:55, 512M, 512M, 143.6MB, Job completed successfully
83,application_1513303661803_23429_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
84,application_1513303661803_23092_asrd.cp.big.data.services.team.log,1513783221, 17/12/20 15:20:33,1513783233,12, 17/12/20 15:20:17, 15G, 10G, 10.6GB, Job completed successfully
85,application_1513303661803_18866_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 8.5GB, NA
86,application_1513303661803_21959_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
87,application_1513303661803_22641_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
88,application_1513303661803_19600_asrd.cp.big.data.services.team.log,1513681276, 17/12/19 11:01:21,1513681281,5, 17/12/19 11:01:09, 512M, 512M, 143.6MB, Job completed successfully
89,application_1513303661803_18141_asrd.cp.big.data.services.team.log,1513641680, 17/12/19 00:01:29,1513641689,9, 17/12/19 00:01:12, 3G, 3G, 1983.0MB, Job completed successfully
90,application_1513303661803_19303_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
91,application_1513303661803_20485_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
92,application_1513303661803_20914_asrd.cp.big.data.services.team.log,1513729076, 17/12/20 00:18:08,1513729088,12, 17/12/20 00:17:52, 12G, 12G, 8.4GB, Job failed
93,application_1513303661803_25866_asrd.cp.big.data.services.team.log,1513854408, 17/12/21 11:06:53,1513854413,5, 17/12/21 11:06:44, 12g, 6144M, 8.4GB, Job completed successfully
94,application_1513303661803_20393_asrd.cp.big.data.services.team.log,1513710082, 17/12/19 19:01:27,1513710087,5, 17/12/19 19:01:16, 12G, 12G, 8.4GB, Job completed successfully
95,application_1513303661803_21932_asrd.cp.big.data.services.team.log,1513747153, 17/12/20 05:19:19,1513747159,6, 17/12/20 05:19:04, 12g, 6144M, 8.4GB, Job completed successfully
96,application_1513303661803_19536_asrd.cp.big.data.services.team.log,1513676597, 17/12/19 09:43:23,1513676603,6, 17/12/19 09:43:13, 12g, 10G, 8.4GB, Job completed successfully
97,application_1513303661803_23459_asrd.cp.big.data.services.team.log,1513786775, 17/12/20 16:19:40,1513786780,5, 17/12/20 16:19:31, 12g, 6144M, 8.4GB, Job completed successfully
98,application_1513303661803_23571_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
99,application_1513303661803_23313_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
100,application_1513303661803_21318_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
101,application_1513303661803_18522_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 12.7GB, NA
102,application_1513303661803_19186_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
103,application_1513303661803_23227_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
104,application_1513303661803_22557_asrd.cp.big.data.services.team.log,1513760451, 17/12/20 09:00:56,1513760456,5, 17/12/20 09:00:47, 12g, 3G, 8.4GB, Job completed successfully
105,application_1513303661803_26769_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
106,application_1513303661803_20520_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
107,application_1513303661803_18625_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, 17/12/19 01:01:56, 12g, 10G, 8.4GB, Job failed
108,application_1513303661803_26182_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
109,application_1513303661803_22466_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
110,application_1513303661803_23546_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
111,application_1513303661803_21158_asrd.cp.big.data.services.team.log,1513731142, 17/12/20 00:52:27,1513731147,5, 17/12/20 00:52:18, 12g, 1G, 8.4GB, Job completed successfully
112,application_1513303661803_28001_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
113,application_1513303661803_19280_asrd.cp.big.data.services.team.log,1513658534, 17/12/19 04:42:19,1513658539,5, 17/12/19 04:42:09, 5G, 5G, 3.4GB, Job completed successfully
114,application_1513303661803_18957_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
115,application_1513303661803_19535_asrd.cp.big.data.services.team.log,1513676595, 17/12/19 09:43:21,1513676601,6, 17/12/19 09:43:10, 12g, 10G, 8.4GB, Job completed successfully
116,application_1513303661803_21111_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
117,application_1513303661803_20380_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
118,application_1513303661803_23087_asrd.cp.big.data.services.team.log,1513783159, 17/12/20 15:19:25,1513783165,6, 17/12/20 15:19:15, 12g, 6144M, 8.4GB, Job completed successfully
119,application_1513303661803_25331_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 8.5GB, NA
120,application_1513303661803_17757_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
121,application_1513303661803_21599_asrd.cp.big.data.services.team.log,1513739160, 17/12/20 03:06:05,1513739165,5, 17/12/20 03:05:55, 12g, 12480M, 8.4GB, Job completed successfully
122,application_1513303661803_21222_asrd.cp.big.data.services.team.log,1513731782, 17/12/20 01:03:07,1513731787,5, 17/12/20 01:02:59, 12g, 6144M, 8.4GB, Job failed
123,application_1513303661803_23825_asrd.cp.big.data.services.team.log,1513790832, 17/12/20 17:27:16,1513790836,4, 17/12/20 17:27:09, 12g, 6144M, 8.4GB, Job completed successfully
124,application_1513303661803_20390_asrd.cp.big.data.services.team.log,1513710071, 17/12/19 19:01:16,1513710076,5, 17/12/19 19:01:07, 1G, 1G, 511.5MB, Job failed
125,application_1513303661803_19046_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
126,application_1513303661803_20764_asrd.cp.big.data.services.team.log,1513728132, 17/12/20 00:02:21,1513728141,9, 17/12/20 00:02:06, 15G, 12G, 10.6GB, Job completed successfully
127,application_1513303661803_22783_asrd.cp.big.data.services.team.log,1513773060, 17/12/20 12:31:05,1513773065,5, 17/12/20 12:30:56, 20G, 1G, 14.2GB, Job completed successfully
128,application_1513303661803_18223_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
129,application_1513303661803_22269_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
130,application_1513303661803_19495_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 1983.0MB, NA
131,application_1513303661803_19440_asrd.cp.big.data.services.team.log,1513670452, 17/12/19 08:00:57,1513670457,5, 17/12/19 08:00:47, 12g, 3G, 8.4GB, Job completed successfully
132,application_1513303661803_19459_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
133,application_1513303661803_19858_asrd.cp.big.data.services.team.log,1513694770, 17/12/19 14:47:10,1513694830,60, 17/12/19 14:46:05, 4G, 4G, 2.7GB, Job completed successfully
134,application_1513303661803_21775_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
135,application_1513303661803_18963_asrd.cp.big.data.services.team.log,1513650352, 17/12/19 02:29:00,1513650540,188, 17/12/19 02:25:47, 12g, 10G, 8.4GB, Job failed
136,application_1513303661803_22534_asrd.cp.big.data.services.team.log,1513757686, 17/12/20 08:14:51,1513757691,5, 17/12/20 08:14:42, 15G, 10G, 10.6GB, Job completed successfully
137,application_1513303661803_22654_asrd.cp.big.data.services.team.log,1513765018, 17/12/20 10:17:04,1513765024,6, 17/12/20 10:16:46, 12g, 2G, 8.4GB, Job completed successfully
138,application_1513303661803_18063_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
139,application_1513303661803_24845_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
140,application_1513303661803_26828_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
141,application_1513303661803_20606_asrd.cp.big.data.services.team.log,1513716838, 17/12/19 20:54:03,1513716843,5, 17/12/19 20:53:54, 3G, 10G, 1983.0MB, Job completed successfully
142,application_1513303661803_22061_asrd.cp.big.data.services.team.log,1513749356, 17/12/20 05:56:02,1513749362,6, 17/12/20 05:55:54, 12g, 6144M, 8.4GB, Job completed successfully
143,application_1513303661803_19671_asrd.cp.big.data.services.team.log,1513688525, 17/12/19 13:02:13,1513688533,8, 17/12/19 13:01:58, 512M, 512M, 143.6MB, Job completed successfully
144,application_1513303661803_22747_asrd.cp.big.data.services.team.log,1513771264, 17/12/20 12:01:09,1513771269,5, 17/12/20 12:01:00, 512M, 512M, 143.6MB, Job completed successfully
145,application_1513303661803_25038_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
146,application_1513303661803_22199_asrd.cp.big.data.services.team.log,1513750794, 17/12/20 06:19:59,1513750799,5, 17/12/20 06:19:50, 12g, 6144M, 8.4GB, Job completed successfully
147,application_1513303661803_25088_asrd.cp.big.data.services.team.log,1513821661, 17/12/21 02:01:07,1513821667,6, 17/12/21 02:00:56, 12g, 1G, 8.4GB, Job completed successfully
148,application_1513303661803_22550_asrd.cp.big.data.services.team.log,1513759262, 17/12/20 08:41:07,1513759267,5, 17/12/20 08:40:58, 15G, 10G, 10.6GB, Job completed successfully
149,application_1513303661803_22144_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
150,application_1513303661803_20531_asrd.cp.big.data.services.team.log,1513713685, 17/12/19 20:01:30,1513713690,5, 17/12/19 20:01:20, 12G, 4G, 8.4GB, Job completed successfully
151,application_1513303661803_25380_asrd.cp.big.data.services.team.log,1513825924, 17/12/21 03:12:09,1513825929,5, 17/12/21 03:12:00, 12g, 10G, 8.4GB, Job completed successfully
152,application_1513303661803_24004_asrd.cp.big.data.services.team.log,1513793160, 17/12/20 18:06:05,1513793165,5, 17/12/20 18:05:57, 12g, 6144M, 8.4GB, Job completed successfully
153,application_1513303661803_23513_asrd.cp.big.data.services.team.log,1513787373, 17/12/20 16:29:38,1513787378,5, 17/12/20 16:29:29, 12g, 6144M, 8.4GB, Job completed successfully
154,application_1513303661803_20320_asrd.cp.big.data.services.team.log,1513706625, 17/12/19 18:03:50,1513706630,5, 17/12/19 18:03:41, 12G, 10G, 8.4GB, Job completed successfully
155,application_1513303661803_20284_asrd.cp.big.data.services.team.log,1513705899, 17/12/19 17:51:44,1513705904,5, 17/12/19 17:51:35, 15G, 10G, 10.6GB, Job completed successfully
156,application_1513303661803_28088_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
157,application_1513303661803_20004_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
158,application_1513303661803_22897_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
159,application_1513303661803_22768_asrd.cp.big.data.services.team.log,1513771663, 17/12/20 12:07:49,1513771669,6, 17/12/20 12:07:39, 15G, 10G, 10.6GB, Job completed successfully
160,application_1513303661803_20039_asrd.cp.big.data.services.team.log,1513699289, 17/12/19 16:01:35,1513699295,6, 17/12/19 16:01:24, 12g, 3G, 8.4GB, Job completed successfully
161,application_1513303661803_20979_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 8.5GB, NA
162,application_1513303661803_24480_asrd.cp.big.data.services.team.log,1513807454, 17/12/20 22:04:19,1513807459,5, 17/12/20 22:04:10, 12g, 6144M, 8.4GB, Job completed successfully
163,application_1513303661803_18860_asrd.cp.big.data.services.team.log,1513649741, 17/12/19 02:15:49,1513649749,8, 17/12/19 02:15:36, 12g, 10G, 8.4GB, Job completed successfully
164,application_1513303661803_21700_asrd.cp.big.data.services.team.log,1513740154, 17/12/20 03:22:42,1513740162,8, 17/12/20 03:22:29, 12g, 10G, 8.4GB, Job completed successfully
165,application_1513303661803_21411_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 8.5GB, NA
166,application_1513303661803_20613_asrd.cp.big.data.services.team.log,1513717258, 17/12/19 21:01:04,1513717264,6, 17/12/19 21:00:52, 12g, 3G, 8.4GB, Job completed successfully
