,S.No.,Log File, state_accept_epoch (s), state_running_time, state_running_epoch (s),Waiting Time (in Seconds),spark_driver_start_time,Driver Memory (MB),Executor Memory (MB),Memory Store Capacity (MB),Job Result
126,127,application_1513303661803_22783_asrd.cp.big.data.services.team.log,1513773060.0, 17/12/20 12:31:05,1513773065,5, 17/12/20 12:30:56,20480.0,1024.0,14540.8, Job completed successfully
130,131,application_1513303661803_19440_asrd.cp.big.data.services.team.log,1513670452.0, 17/12/19 08:00:57,1513670457,5, 17/12/19 08:00:47,12288.0,3072.0,8601.6, Job completed successfully
132,133,application_1513303661803_19858_asrd.cp.big.data.services.team.log,1513694770.0, 17/12/19 14:47:10,1513694830,60, 17/12/19 14:46:05,4096.0,4096.0,2764.8, Job completed successfully
134,135,application_1513303661803_18963_asrd.cp.big.data.services.team.log,1513650352.0, 17/12/19 02:29:00,1513650540,188, 17/12/19 02:25:47,12288.0,10240.0,8601.6, Job failed
135,136,application_1513303661803_22534_asrd.cp.big.data.services.team.log,1513757686.0, 17/12/20 08:14:51,1513757691,5, 17/12/20 08:14:42,15360.0,10240.0,10854.4, Job completed successfully
136,137,application_1513303661803_22654_asrd.cp.big.data.services.team.log,1513765018.0, 17/12/20 10:17:04,1513765024,6, 17/12/20 10:16:46,12288.0,2048.0,8601.6, Job completed successfully
140,141,application_1513303661803_20606_asrd.cp.big.data.services.team.log,1513716838.0, 17/12/19 20:54:03,1513716843,5, 17/12/19 20:53:54,3072.0,10240.0,1983.0, Job completed successfully
141,142,application_1513303661803_22061_asrd.cp.big.data.services.team.log,1513749356.0, 17/12/20 05:56:02,1513749362,6, 17/12/20 05:55:54,12288.0,6144.0,8601.6, Job completed successfully
142,143,application_1513303661803_19671_asrd.cp.big.data.services.team.log,1513688525.0, 17/12/19 13:02:13,1513688533,8, 17/12/19 13:01:58,512.0,512.0,143.6, Job completed successfully
143,144,application_1513303661803_22747_asrd.cp.big.data.services.team.log,1513771264.0, 17/12/20 12:01:09,1513771269,5, 17/12/20 12:01:00,512.0,512.0,143.6, Job completed successfully
145,146,application_1513303661803_22199_asrd.cp.big.data.services.team.log,1513750794.0, 17/12/20 06:19:59,1513750799,5, 17/12/20 06:19:50,12288.0,6144.0,8601.6, Job completed successfully
146,147,application_1513303661803_25088_asrd.cp.big.data.services.team.log,1513821661.0, 17/12/21 02:01:07,1513821667,6, 17/12/21 02:00:56,12288.0,1024.0,8601.6, Job completed successfully
147,148,application_1513303661803_22550_asrd.cp.big.data.services.team.log,1513759262.0, 17/12/20 08:41:07,1513759267,5, 17/12/20 08:40:58,15360.0,10240.0,10854.4, Job completed successfully
149,150,application_1513303661803_20531_asrd.cp.big.data.services.team.log,1513713685.0, 17/12/19 20:01:30,1513713690,5, 17/12/19 20:01:20,12288.0,4096.0,8601.6, Job completed successfully
150,151,application_1513303661803_25380_asrd.cp.big.data.services.team.log,1513825924.0, 17/12/21 03:12:09,1513825929,5, 17/12/21 03:12:00,12288.0,10240.0,8601.6, Job completed successfully
151,152,application_1513303661803_24004_asrd.cp.big.data.services.team.log,1513793160.0, 17/12/20 18:06:05,1513793165,5, 17/12/20 18:05:57,12288.0,6144.0,8601.6, Job completed successfully
152,153,application_1513303661803_23513_asrd.cp.big.data.services.team.log,1513787373.0, 17/12/20 16:29:38,1513787378,5, 17/12/20 16:29:29,12288.0,6144.0,8601.6, Job completed successfully
153,154,application_1513303661803_20320_asrd.cp.big.data.services.team.log,1513706625.0, 17/12/19 18:03:50,1513706630,5, 17/12/19 18:03:41,12288.0,10240.0,8601.6, Job completed successfully
154,155,application_1513303661803_20284_asrd.cp.big.data.services.team.log,1513705899.0, 17/12/19 17:51:44,1513705904,5, 17/12/19 17:51:35,15360.0,10240.0,10854.4, Job completed successfully
158,159,application_1513303661803_22768_asrd.cp.big.data.services.team.log,1513771663.0, 17/12/20 12:07:49,1513771669,6, 17/12/20 12:07:39,15360.0,10240.0,10854.4, Job completed successfully
159,160,application_1513303661803_20039_asrd.cp.big.data.services.team.log,1513699289.0, 17/12/19 16:01:35,1513699295,6, 17/12/19 16:01:24,12288.0,3072.0,8601.6, Job completed successfully
161,162,application_1513303661803_24480_asrd.cp.big.data.services.team.log,1513807454.0, 17/12/20 22:04:19,1513807459,5, 17/12/20 22:04:10,12288.0,6144.0,8601.6, Job completed successfully
162,163,application_1513303661803_18860_asrd.cp.big.data.services.team.log,1513649741.0, 17/12/19 02:15:49,1513649749,8, 17/12/19 02:15:36,12288.0,10240.0,8601.6, Job completed successfully
163,164,application_1513303661803_21700_asrd.cp.big.data.services.team.log,1513740154.0, 17/12/20 03:22:42,1513740162,8, 17/12/20 03:22:29,12288.0,10240.0,8601.6, Job completed successfully
165,166,application_1513303661803_20613_asrd.cp.big.data.services.team.log,1513717258.0, 17/12/19 21:01:04,1513717264,6, 17/12/19 21:00:52,12288.0,3072.0,8601.6, Job completed successfully
169,170,application_1513303661803_22098_asrd.cp.big.data.services.team.log,1513749722.0, 17/12/20 06:02:07,1513749727,5, 17/12/20 06:01:57,12288.0,10240.0,8601.6, Job completed successfully
170,171,application_1513303661803_19649_asrd.cp.big.data.services.team.log,1513685752.0, 17/12/19 12:15:57,1513685757,5, 17/12/19 12:15:47,12288.0,2048.0,8601.6, Job completed successfully
171,172,application_1513303661803_21058_asrd.cp.big.data.services.team.log,1513730446.0, 17/12/20 00:40:51,1513730451,5, 17/12/20 00:40:31,12288.0,6144.0,8601.6, Job completed successfully
172,173,application_1513303661803_24087_asrd.cp.big.data.services.team.log,1513794145.0, 17/12/20 18:22:33,1513794153,8, 17/12/20 18:22:18,12288.0,6144.0,8601.6, Job completed successfully
174,175,application_1513303661803_25248_asrd.cp.big.data.services.team.log,1513822945.0, 17/12/21 02:22:34,1513822954,9, 17/12/21 02:22:20,12288.0,12480.0,8601.6, Job completed successfully
175,176,application_1513303661803_21641_asrd.cp.big.data.services.team.log,1513739533.0, 17/12/20 03:12:18,1513739538,5, 17/12/20 03:12:08,12288.0,5120.0,8601.6, Job completed successfully
178,179,application_1513303661803_19979_asrd.cp.big.data.services.team.log,1513698094.0, 17/12/19 15:41:39,1513698099,5, 17/12/19 15:41:29,12288.0,1024.0,8601.6, Job completed successfully
179,180,application_1513303661803_24418_asrd.cp.big.data.services.team.log,1513800492.0, 17/12/20 20:08:19,1513800499,7, 17/12/20 20:08:07,6144.0,4096.0,4198.4, Job completed successfully
180,181,application_1513303661803_18829_asrd.cp.big.data.services.team.log,1513649661.0, 17/12/19 02:14:26,1513649666,5, 17/12/19 02:14:16,10240.0,10240.0,7168.0, Job completed successfully
183,184,application_1513303661803_22738_asrd.cp.big.data.services.team.log,1513770356.0, 17/12/20 11:46:01,1513770361,5, 17/12/20 11:45:50,15360.0,10240.0,10854.4, Job completed successfully
185,186,application_1513303661803_25085_asrd.cp.big.data.services.team.log,1513821655.0, 17/12/21 02:01:00,1513821660,5, 17/12/21 02:00:51,12288.0,6144.0,8601.6, Job completed successfully
187,188,application_1513303661803_21664_asrd.cp.big.data.services.team.log,1513739621.0, 17/12/20 03:14:39,1513739679,58, 17/12/20 03:13:37,12288.0,10240.0,8601.6, Job completed successfully
189,190,application_1513303661803_18614_asrd.cp.big.data.services.team.log,1513645308.0, 17/12/19 01:01:54,1513645314,6, 17/12/19 01:01:44,12288.0,10240.0,8601.6, Job completed successfully
192,193,application_1513303661803_23230_asrd.cp.big.data.services.team.log,1513784813.0, 17/12/20 15:47:00,1513784820,7, 17/12/20 15:46:49,12288.0,6144.0,8601.6, Job completed successfully
193,194,application_1513303661803_20734_asrd.cp.big.data.services.team.log,1513726228.0, 17/12/19 23:30:33,1513726233,5, 17/12/19 23:30:24,15360.0,10240.0,10854.4, Job completed successfully
195,196,application_1513303661803_23504_asrd.cp.big.data.services.team.log,1513787256.0, 17/12/20 16:27:41,1513787261,5, 17/12/20 16:27:33,12288.0,6144.0,8601.6, Job completed successfully
198,199,application_1513303661803_23900_asrd.cp.big.data.services.team.log,1513791954.0, 17/12/20 17:45:59,1513791959,5, 17/12/20 17:45:51,12288.0,6144.0,8601.6, Job completed successfully
203,204,application_1513303661803_26834_asrd.cp.big.data.services.team.log,1513901997.0, 17/12/22 00:20:03,1513902003,6, 17/12/22 00:19:53,12288.0,6144.0,8601.6, Job completed successfully
205,206,application_1513303661803_20459_asrd.cp.big.data.services.team.log,1513711040.0, 17/12/19 19:17:25,1513711045,5, 17/12/19 19:17:06,2048.0,10240.0,1247.6, Job completed successfully
207,208,application_1513303661803_24370_asrd.cp.big.data.services.team.log,1513799020.0, 17/12/20 19:43:45,1513799025,5, 17/12/20 19:43:36,12288.0,6144.0,8601.6, Job completed successfully
208,209,application_1513303661803_19822_asrd.cp.big.data.services.team.log,1513693326.0, 17/12/19 14:23:07,1513693387,61, 17/12/19 14:22:02,12288.0,10240.0,8601.6, Job completed successfully
209,210,application_1513303661803_25249_asrd.cp.big.data.services.team.log,1513822944.0, 17/12/21 02:22:34,1513822954,10, 17/12/21 02:22:20,12288.0,1024.0,8601.6, Job completed successfully
210,211,application_1513303661803_21548_asrd.cp.big.data.services.team.log,1513738850.0, 17/12/20 03:01:01,1513738861,11, 17/12/20 03:00:47,12288.0,6144.0,8601.6, Job completed successfully
211,212,application_1513303661803_21329_asrd.cp.big.data.services.team.log,1513735280.0, 17/12/20 02:01:25,1513735285,5, 17/12/20 02:01:15,512.0,512.0,143.6, Job completed successfully
212,213,application_1513303661803_23136_asrd.cp.big.data.services.team.log,1513783763.0, 17/12/20 15:29:56,1513783796,33, 17/12/20 15:29:20,12288.0,10240.0,8601.6, Job completed successfully
214,215,application_1513303661803_24350_asrd.cp.big.data.services.team.log,1513798583.0, 17/12/20 19:36:28,1513798588,5, 17/12/20 19:36:20,12288.0,6144.0,8601.6, Job completed successfully
215,216,application_1513303661803_19313_asrd.cp.big.data.services.team.log,1513659662.0, 17/12/19 05:01:07,1513659667,5, 17/12/19 05:00:57,512.0,512.0,143.6, Job completed successfully
216,217,application_1513303661803_18076_asrd.cp.big.data.services.team.log,1513639061.0, 17/12/18 23:17:46,1513639066,5, 17/12/18 23:17:36,12288.0,16384.0,8601.6, Job completed successfully
219,220,application_1513303661803_18680_asrd.cp.big.data.services.team.log,1513645880.0, 17/12/19 01:11:25,1513645885,5, 17/12/19 01:11:16,20480.0,10240.0,14540.8, Job completed successfully
220,221,application_1513303661803_22115_asrd.cp.big.data.services.team.log,1513749798.0, 17/12/20 06:03:23,1513749803,5, 17/12/20 06:03:15,12288.0,6144.0,8601.6, Job completed successfully
221,222,application_1513303661803_18250_asrd.cp.big.data.services.team.log,1513642362.0, 17/12/19 00:12:47,1513642367,5, 17/12/19 00:12:24,12288.0,6144.0,8601.6, Job completed successfully
222,223,application_1513303661803_20216_asrd.cp.big.data.services.team.log,1513703626.0, 17/12/19 17:13:51,1513703631,5, 17/12/19 17:13:41,6144.0,4096.0,4198.4, Job completed successfully
223,224,application_1513303661803_22857_asrd.cp.big.data.services.team.log,1513778477.0, 17/12/20 14:01:22,1513778482,5, 17/12/20 14:01:12,512.0,512.0,143.6, Job completed successfully
224,225,application_1513303661803_23511_asrd.cp.big.data.services.team.log,1513787366.0, 17/12/20 16:29:33,1513787373,7, 17/12/20 16:29:23,12288.0,6144.0,8601.6, Job completed successfully
225,226,application_1513303661803_23976_asrd.cp.big.data.services.team.log,1513792863.0, 17/12/20 18:01:09,1513792869,6, 17/12/20 18:01:00,12288.0,6144.0,8601.6, Job completed successfully
227,228,application_1513303661803_21005_asrd.cp.big.data.services.team.log,1513730124.0, 17/12/20 00:35:29,1513730129,5, 17/12/20 00:35:20,12288.0,1024.0,8601.6, Job completed successfully
229,230,application_1513303661803_19936_asrd.cp.big.data.services.team.log,1513697034.0, 17/12/19 15:24:33,1513697073,39, 17/12/19 15:23:49,15360.0,6144.0,10854.4, Job completed successfully
230,231,application_1513303661803_21088_asrd.cp.big.data.services.team.log,1513730493.0, 17/12/20 00:41:38,1513730498,5, 17/12/20 00:41:28,10240.0,10240.0,7168.0, Job completed successfully
231,232,application_1513303661803_19942_asrd.cp.big.data.services.team.log,1513697043.0, 17/12/19 15:24:29,1513697069,26, 17/12/19 15:23:57,6144.0,4096.0,4198.4, Job completed successfully
234,235,application_1513303661803_19745_asrd.cp.big.data.services.team.log,1513692332.0, 17/12/19 14:05:37,1513692337,5, 17/12/19 14:05:29,18432.0,22528.0,13004.8, Job completed successfully
235,236,application_1513303661803_18772_asrd.cp.big.data.services.team.log,1513648861.0, 17/12/19 02:01:08,1513648868,7, 17/12/19 02:00:57,12288.0,1024.0,8601.6, Job completed successfully
236,237,application_1513303661803_23219_asrd.cp.big.data.services.team.log,1513784690.0, 17/12/20 15:44:55,1513784695,5, 17/12/20 15:44:47,12288.0,6144.0,8601.6, Job completed successfully
237,238,application_1513303661803_18820_asrd.cp.big.data.services.team.log,1513649461.0, 17/12/19 02:11:07,1513649467,6, 17/12/19 02:10:57,6144.0,4096.0,4198.4, Job completed successfully
240,241,application_1513303661803_21323_asrd.cp.big.data.services.team.log,1513735256.0, 17/12/20 02:01:05,1513735265,9, 17/12/20 02:00:52,12288.0,1024.0,8601.6, Job completed successfully
241,242,application_1513303661803_24074_asrd.cp.big.data.services.team.log,1513793889.0, 17/12/20 18:18:18,1513793898,9, 17/12/20 18:18:04,12288.0,6144.0,8601.6, Job completed successfully
242,243,application_1513303661803_24154_asrd.cp.big.data.services.team.log,1513795141.0, 17/12/20 18:39:06,1513795146,5, 17/12/20 18:38:58,12288.0,6144.0,8601.6, Job completed successfully
243,244,application_1513303661803_20429_asrd.cp.big.data.services.team.log,1513710257.0, 17/12/19 19:04:22,1513710262,5, 17/12/19 19:04:12,12288.0,16384.0,8601.6, Job completed successfully
245,246,application_1513303661803_24675_asrd.cp.big.data.services.team.log,1513815385.0, 17/12/21 00:16:30,1513815390,5, 17/12/21 00:16:20,12288.0,6144.0,8601.6, Job completed successfully
246,247,application_1513303661803_26797_asrd.cp.big.data.services.team.log,1513901792.0, 17/12/22 00:16:39,1513901799,7, 17/12/22 00:16:27,12288.0,6144.0,8601.6, Job completed successfully
247,248,application_1513303661803_22246_asrd.cp.big.data.services.team.log,1513751600.0, 17/12/20 06:33:25,1513751605,5, 17/12/20 06:33:17,12288.0,6144.0,8601.6, Job completed successfully
251,252,application_1513303661803_24105_asrd.cp.big.data.services.team.log,1513794453.0, 17/12/20 18:27:38,1513794458,5, 17/12/20 18:27:29,12288.0,6144.0,8601.6, Job completed successfully
253,254,application_1513303661803_28050_asrd.cp.big.data.services.team.log,1513944355.0, 17/12/22 12:06:00,1513944360,5, 17/12/22 12:05:51,12288.0,6144.0,8601.6, Job completed successfully
254,255,application_1513303661803_19471_asrd.cp.big.data.services.team.log,1513671348.0, 17/12/19 08:15:53,1513671353,5, 17/12/19 08:15:43,12288.0,2048.0,8601.6, Job completed successfully
255,256,application_1513303661803_22726_asrd.cp.big.data.services.team.log,1513769222.0, 17/12/20 11:27:07,1513769227,5, 17/12/20 11:26:58,12288.0,10240.0,8601.6, Job completed successfully
256,257,application_1513303661803_22343_asrd.cp.big.data.services.team.log,1513752986.0, 17/12/20 06:56:31,1513752991,5, 17/12/20 06:56:23,12288.0,6144.0,8601.6, Job completed successfully
259,260,application_1513303661803_24387_asrd.cp.big.data.services.team.log,1513800061.0, 17/12/20 20:01:06,1513800066,5, 17/12/20 20:00:58,512.0,512.0,143.6, Job completed successfully
261,262,application_1513303661803_18644_asrd.cp.big.data.services.team.log,1513645464.0, 17/12/19 01:04:35,1513645475,11, 17/12/19 01:04:19,12288.0,10240.0,8601.6, Job completed successfully
262,263,application_1513303661803_19012_asrd.cp.big.data.services.team.log,1513652065.0, 17/12/19 02:54:30,1513652070,5, 17/12/19 02:54:21,20480.0,10240.0,14540.8, Job completed successfully
263,264,application_1513303661803_24054_asrd.cp.big.data.services.team.log,1513793693.0, 17/12/20 18:14:58,1513793698,5, 17/12/20 18:14:50,12288.0,6144.0,8601.6, Job completed successfully
