,Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory_MB,spark_executor_memory_MB,memoryStore_capacity_MB,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
36,application_1513303661803_24056_asrd.cp.big.data.services.team.log,1513793699.0, 17/12/20 18:15:05,1513793705,6, 17/12/20 18:14:56,1513793696,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 18:21:13,1513794073,,,3,368,
37,application_1513303661803_18992_asrd.cp.big.data.services.team.log,1513651161.0, 17/12/19 02:39:27,1513651167,6, 17/12/19 02:39:17,1513651157,12288.0,10240.0,8601.6, Job completed successfully, 17/12/19 02:58:37,1513652317,,,4,1150,
38,application_1513303661803_22851_asrd.cp.big.data.services.team.log,1513778467.0, 17/12/20 14:01:12,1513778472,5, 17/12/20 14:00:58,1513778458,512.0,512.0,143.6, Job completed successfully, 17/12/20 14:01:41,1513778501,,,9,29,
39,application_1513303661803_24077_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
40,application_1513303661803_24037_asrd.cp.big.data.services.team.log,,,,,,,,,2764.8,,,,,,,,
41,application_1513303661803_22070_asrd.cp.big.data.services.team.log,1513749511.0, 17/12/20 05:58:36,1513749516,5, 17/12/20 05:58:27,1513749507,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 06:04:29,1513749869,,,4,353,
42,application_1513303661803_18982_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
43,application_1513303661803_22181_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
44,application_1513303661803_19045_asrd.cp.big.data.services.team.log,1513652536.0, 17/12/19 03:02:20,1513652540,4, 17/12/19 03:02:12,1513652532,20480.0,10240.0,14540.8, Job failed,,, 17/12/19 03:02:28,1513652548,4,,8
45,application_1513303661803_25535_asrd.cp.big.data.services.team.log,,,,,,,,,2764.8,,,,,,,,
46,application_1513303661803_25698_asrd.cp.big.data.services.team.log,1513839980.0, 17/12/21 07:06:25,1513839985,5, 17/12/21 07:06:16,1513839976,12288.0,6144.0,8601.6, Job completed successfully, 17/12/21 07:06:45,1513840005,,,4,20,
47,application_1513303661803_19731_asrd.cp.big.data.services.team.log,,,,,,,,,511.5,,,,,,,,
48,application_1513303661803_21371_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
49,application_1513303661803_18601_asrd.cp.big.data.services.team.log,,,,,,,,,,,,,,,,,
50,application_1513303661803_18883_asrd.cp.big.data.services.team.log,1513649811.0, 17/12/19 02:16:59,1513649819,8, 17/12/19 02:16:45,1513649805,15360.0,12288.0,10854.4, Job completed successfully, 17/12/19 03:17:05,1513653425,,,6,3606,
51,application_1513303661803_21441_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
52,application_1513303661803_20082_asrd.cp.big.data.services.team.log,1513700684.0, 17/12/19 16:24:49,1513700689,5, 17/12/19 16:24:41,1513700681,12288.0,6144.0,8601.6, Job completed successfully, 17/12/19 16:25:32,1513700732,,,3,43,
53,application_1513303661803_19574_asrd.cp.big.data.services.team.log,,,,,,,,,143.6,,,,,,,,
54,application_1513303661803_20166_asrd.cp.big.data.services.team.log,1513702790.0, 17/12/19 16:59:55,1513702795,5, 17/12/19 16:59:46,1513702786,12288.0,6144.0,8601.6, Job completed successfully, 17/12/19 17:14:40,1513703680,,,4,885,
55,application_1513303661803_23605_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
56,application_1513303661803_23332_asrd.cp.big.data.services.team.log,1513786032.0, 17/12/20 16:07:22,1513786042,10, 17/12/20 16:07:08,1513786028,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 16:13:47,1513786427,,,4,385,
57,application_1513303661803_25796_asrd.cp.big.data.services.team.log,1513847058.0, 17/12/21 09:04:23,1513847063,5, 17/12/21 09:04:13,1513847053,12288.0,6144.0,8601.6, Job completed successfully, 17/12/21 09:04:44,1513847084,,,5,21,
58,application_1513303661803_23991_asrd.cp.big.data.services.team.log,1513792895.0, 17/12/20 18:01:40,1513792900,5, 17/12/20 18:01:33,1513792893,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 18:07:46,1513793266,,,2,366,
59,application_1513303661803_19578_asrd.cp.big.data.services.team.log,,,,,,,,,143.6,,,,,,,,
60,application_1513303661803_23496_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
61,application_1513303661803_23443_asrd.cp.big.data.services.team.log,1513786570.0, 17/12/20 16:16:15,1513786575,5, 17/12/20 16:16:07,1513786567,12288.0,10240.0,8601.6, Job completed successfully, 17/12/20 16:17:17,1513786637,,,3,62,
62,application_1513303661803_23765_asrd.cp.big.data.services.team.log,1513790162.0, 17/12/20 17:16:07,1513790167,5, 17/12/20 17:15:57,1513790157,15360.0,8192.0,10854.4, Job completed successfully, 17/12/20 17:19:27,1513790367,,,5,200,
63,application_1513303661803_20785_asrd.cp.big.data.services.team.log,,,,,,,,,143.6,,,,,,,,
64,application_1513303661803_21822_asrd.cp.big.data.services.team.log,1513744114.0, 17/12/20 04:28:40,1513744120,6, 17/12/20 04:28:30,1513744110,20480.0,10240.0,14540.8, Job completed successfully, 17/12/20 04:34:20,1513744460,,,4,340,
65,application_1513303661803_21199_asrd.cp.big.data.services.team.log,1513731716.0, 17/12/20 01:02:01,1513731721,5, 17/12/20 01:01:52,1513731712,512.0,512.0,143.6, Job completed successfully, 17/12/20 01:02:29,1513731749,,,4,28,
66,application_1513303661803_25212_asrd.cp.big.data.services.team.log,1513822709.0, 17/12/21 02:18:40,1513822720,11, 17/12/21 02:18:25,1513822705,12288.0,6144.0,8601.6, Job completed successfully, 17/12/21 02:25:14,1513823114,,,4,394,
67,application_1513303661803_20258_asrd.cp.big.data.services.team.log,1513704747.0, 17/12/19 17:32:32,1513704752,5, 17/12/19 17:32:23,1513704743,2048.0,10240.0,1247.6, Job completed successfully, 17/12/19 17:33:39,1513704819,,,4,67,
