Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory,spark_executor_memory,memoryStore_capacity,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
application_1513303661803_24054_asrd.cp.big.data.services.team.log,1513793693, 17/12/20 18:14:58,1513793698,5, 17/12/20 18:14:50,1513793690, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:21:37,1513794097, NA, NA,3,399, NA
application_1513303661803_18556_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22186_asrd.cp.big.data.services.team.log,1513750683, 17/12/20 06:18:08,1513750688,5, 17/12/20 06:18:00,1513750680, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 06:24:55,1513751095, NA, NA,3,407, NA
application_1513303661803_24712_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18281_asrd.cp.big.data.services.team.log,1513642623, 17/12/19 00:17:15,1513642635,12, 17/12/19 00:16:58,1513642618, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 00:28:44,1513643324, NA, NA,5,689, NA
application_1513303661803_19701_asrd.cp.big.data.services.team.log,1513692086, 17/12/19 14:01:31,1513692091,5, 17/12/19 14:01:16,1513692076, 512M, 512M, 143.6MB, Job completed successfully, 17/12/19 14:01:57,1513692117, NA, NA,10,26, NA
application_1513303661803_19375_asrd.cp.big.data.services.team.log,1513663368, 17/12/19 06:02:53,1513663373,5, 17/12/19 06:02:44,1513663364, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 06:03:12,1513663392, NA, NA,4,19, NA
application_1513303661803_23625_asrd.cp.big.data.services.team.log,1513788735, 17/12/20 16:52:20,1513788740,5, 17/12/20 16:52:12,1513788732, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 16:58:19,1513789099, NA, NA,3,359, NA
application_1513303661803_21967_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23069_asrd.cp.big.data.services.team.log,1513782539, 17/12/20 15:10:02,1513782602,63, 17/12/20 15:08:56,1513782536, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 15:23:45,1513783425, NA, NA,3,823, NA
application_1513303661803_19586_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19835_asrd.cp.big.data.services.team.log,1513694192, 17/12/19 14:38:14,1513694294,102, 17/12/19 14:36:26,1513694186, 12g, 1G, 8.4GB, Job completed successfully, 17/12/19 14:44:42,1513694682, NA, NA,6,388, NA
application_1513303661803_20334_asrd.cp.big.data.services.team.log,1513707118, 17/12/19 18:12:03,1513707123,5, 17/12/19 18:11:54,1513707114, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 18:14:01,1513707241, NA, NA,4,118, NA
application_1513303661803_22005_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18884_asrd.cp.big.data.services.team.log,1513649799, 17/12/19 02:16:45,1513649805,6, 17/12/19 02:16:33,1513649793, 12g, 1G, 8.4GB, Job completed successfully, 17/12/19 02:18:59,1513649939, NA, NA,6,134, NA
application_1513303661803_21430_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22880_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22306_asrd.cp.big.data.services.team.log,1513752454, 17/12/20 06:47:39,1513752459,5, 17/12/20 06:47:30,1513752450, 12g, 10G, 8.4GB, Job completed successfully, 17/12/20 07:14:44,1513754084, NA, NA,4,1625, NA
application_1513303661803_21895_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22024_asrd.cp.big.data.services.team.log,1513748895, 17/12/20 05:48:22,1513748902,7, 17/12/20 05:48:12,1513748892, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 05:53:58,1513749238, NA, NA,3,336, NA
application_1513303661803_17923_asrd.cp.big.data.services.team.log,1513636873, 17/12/18 22:41:18,1513636878,5, 17/12/18 22:41:08,1513636868, 12g, 10G, 8.4GB, Job completed successfully, 17/12/18 22:42:33,1513636953, NA, NA,5,75, NA
application_1513303661803_19081_asrd.cp.big.data.services.team.log,1513653315, 17/12/19 03:15:20,1513653320,5, 17/12/19 03:15:10,1513653310, 12g, 12480M, 8.4GB, Job completed successfully, 17/12/19 03:17:12,1513653432, NA, NA,5,112, NA
application_1513303661803_23159_asrd.cp.big.data.services.team.log,1513784162, 17/12/20 15:36:07,1513784167,5, 17/12/20 15:35:59,1513784159, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 15:43:32,1513784612, NA, NA,3,445, NA
application_1513303661803_24107_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_17833_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18878_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 1247.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19106_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 6.2GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18136_asrd.cp.big.data.services.team.log,1513641662, 17/12/19 00:01:08,1513641668,6, 17/12/19 00:00:58,1513641658, 15G, 10G, 10.6GB, Job completed successfully, 17/12/19 00:06:53,1513642013, NA, NA,4,345, NA
application_1513303661803_20663_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20089_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20932_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 1213.1MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20293_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19055_asrd.cp.big.data.services.team.log,1513652752, 17/12/19 03:05:57,1513652757,5, 17/12/19 03:05:48,1513652748, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 03:06:16,1513652776, NA, NA,4,19, NA
application_1513303661803_24661_asrd.cp.big.data.services.team.log,1513815361, 17/12/21 00:16:06,1513815366,5, 17/12/21 00:15:57,1513815357, 12g, 2G, 8.4GB, Job completed successfully, 17/12/21 00:23:59,1513815839, NA, NA,4,473, NA
application_1513303661803_20822_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21277_asrd.cp.big.data.services.team.log,1513732851, 17/12/20 01:20:56,1513732856,5, 17/12/20 01:20:47,1513732847, 12g, 10G, 8.4GB, Job completed successfully, 17/12/20 01:37:15,1513733835, NA, NA,4,979, NA
application_1513303661803_19141_asrd.cp.big.data.services.team.log,1513653849, 17/12/19 03:24:14,1513653854,5, 17/12/19 03:24:05,1513653845, 10G, 10G, 7.0GB, Job completed successfully, 17/12/19 04:00:59,1513656059, NA, NA,4,2205, NA
application_1513303661803_19614_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23014_asrd.cp.big.data.services.team.log,1513781425, 17/12/20 14:52:37,1513781557,132, 17/12/20 14:50:18,1513781418, 15G, 10G, 10.6GB, Job completed successfully, 17/12/20 15:05:10,1513782310, NA, NA,7,753, NA
application_1513303661803_23141_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18077_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 11.3GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21069_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19305_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24195_asrd.cp.big.data.services.team.log,1513795942, 17/12/20 18:52:27,1513795947,5, 17/12/20 18:52:19,1513795939, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:58:10,1513796290, NA, NA,3,343, NA
application_1513303661803_20053_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21885_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20479_asrd.cp.big.data.services.team.log,1513711731, 17/12/19 19:28:56,1513711736,5, 17/12/19 19:28:47,1513711727, 10G, 10G, 7.0GB, Job completed successfully, 17/12/19 19:33:40,1513712020, NA, NA,4,284, NA
application_1513303661803_20247_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20178_asrd.cp.big.data.services.team.log,1513702876, 17/12/19 17:01:22,1513702882,6, 17/12/19 17:01:12,1513702872, 512M, 512M, 143.6MB, Job completed successfully, 17/12/19 17:01:42,1513702902, NA, NA,4,20, NA
application_1513303661803_22934_asrd.cp.big.data.services.team.log,1513778701, 17/12/20 14:05:06,1513778706,5, 17/12/20 14:04:57,1513778697, 4G, 4G, 2.7GB, Job completed successfully, 17/12/20 14:07:06,1513778826, NA, NA,4,120, NA
application_1513303661803_19077_asrd.cp.big.data.services.team.log,1513653305, 17/12/19 03:15:10,1513653310,5, 17/12/19 03:15:01,1513653301, 20G, 10G, 14.2GB, Job completed successfully, 17/12/19 03:22:31,1513653751, NA, NA,4,441, NA
application_1513303661803_21537_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23138_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21923_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
log_106179819.txt,1509928167, 17/11/06 00:29:33,1509928173,6, 17/11/06 00:29:25,1509928165, 18G, 22G, 9.3GB, Job failed, NA, NA, 17/11/06 00:29:47,1509928187,2, NA,14
application_1513303661803_22703_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20567_asrd.cp.big.data.services.team.log,1513715022, 17/12/19 20:23:47,1513715027,5, 17/12/19 20:23:36,1513715016, 3G, 10G, 1983.0MB, Job completed successfully, 17/12/19 20:27:39,1513715259, NA, NA,6,232, NA
application_1513303661803_20710_asrd.cp.big.data.services.team.log,1513724492, 17/12/19 23:01:51,1513724511,19, 17/12/19 23:01:22,1513724482, 512M, 512M, 143.6MB, Job completed successfully, 17/12/19 23:02:22,1513724542, NA, NA,10,31, NA
application_1513303661803_24030_asrd.cp.big.data.services.team.log,1513793435, 17/12/20 18:10:40,1513793440,5, 17/12/20 18:10:30,1513793430, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:12:43,1513793563, NA, NA,5,123, NA
application_1513303661803_20908_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24818_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19146_asrd.cp.big.data.services.team.log,1513653854, 17/12/19 03:24:19,1513653859,5, 17/12/19 03:24:08,1513653848, 10G, 5G, 7.0GB, Job completed successfully, 17/12/19 03:43:28,1513655008, NA, NA,6,1149, NA
application_1513303661803_24047_asrd.cp.big.data.services.team.log,1513793648, 17/12/20 18:14:15,1513793655,7, 17/12/20 18:14:05,1513793645, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:20:47,1513794047, NA, NA,3,392, NA
application_1513303661803_22785_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_25369_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 3.4GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19006_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19524_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_25198_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_26165_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20366_asrd.cp.big.data.services.team.log,1513709019, 17/12/19 18:43:44,1513709024,5, 17/12/19 18:43:34,1513709014, 15G, 6144M, 10.6GB, Job completed successfully, 17/12/19 18:44:04,1513709044, NA, NA,5,20, NA
application_1513303661803_23272_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23882_asrd.cp.big.data.services.team.log,1513791603, 17/12/20 17:40:17,1513791617,14, 17/12/20 17:39:59,1513791599, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 17:46:13,1513791973, NA, NA,4,356, NA
application_1513303661803_24126_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20524_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19768_asrd.cp.big.data.services.team.log,1513692734, 17/12/19 14:12:19,1513692739,5, 17/12/19 14:12:00,1513692720, 12G, 12G, 8.4GB, Job completed successfully, 17/12/19 14:32:28,1513693948, NA, NA,14,1209, NA
application_1513303661803_21544_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20354_asrd.cp.big.data.services.team.log,1513707927, 17/12/19 18:25:32,1513707932,5, 17/12/19 18:25:24,1513707924, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 18:30:34,1513708234, NA, NA,3,302, NA
application_1513303661803_21152_asrd.cp.big.data.services.team.log,1513731003, 17/12/20 00:50:08,1513731008,5, 17/12/20 00:49:58,1513730998, 15G, 10G, 10.6GB, Job completed successfully, 17/12/20 00:54:47,1513731287, NA, NA,5,279, NA
application_1513303661803_20743_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20803_asrd.cp.big.data.services.team.log,1513728607, 17/12/20 00:10:24,1513728624,17, 17/12/20 00:09:45,1513728585, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 00:11:28,1513728688, NA, NA,22,64, NA
application_1513303661803_24167_asrd.cp.big.data.services.team.log,1513795491, 17/12/20 18:44:56,1513795496,5, 17/12/20 18:44:48,1513795488, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:50:48,1513795848, NA, NA,3,352, NA
application_1513303661803_18922_asrd.cp.big.data.services.team.log,1513649965, 17/12/19 02:19:51,1513649991,26, 17/12/19 02:19:21,1513649961, 12g, 10G, 8.4GB, Job failed, NA, NA, 17/12/19 02:22:30,1513650150,4, NA,159
application_1513303661803_25425_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22004_asrd.cp.big.data.services.team.log,1513748656, 17/12/20 05:44:22,1513748662,6, 17/12/20 05:44:10,1513748650, 15G, 10G, 10.6GB, Job completed successfully, 17/12/20 05:50:21,1513749021, NA, NA,6,359, NA
application_1513303661803_18840_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21850_asrd.cp.big.data.services.team.log,1513746028, 17/12/20 05:00:33,1513746033,5, 17/12/20 05:00:25,1513746025, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 05:07:47,1513746467, NA, NA,3,434, NA
application_1513303661803_25424_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 3.4GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_27991_asrd.cp.big.data.services.team.log,1513940452, 17/12/22 11:00:57,1513940457,5, 17/12/22 11:00:48,1513940448, 12g, 3G, 8.4GB, Job completed successfully, 17/12/22 11:01:18,1513940478, NA, NA,4,21, NA
application_1513303661803_21013_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19852_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22614_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24146_asrd.cp.big.data.services.team.log,1513795080, 17/12/20 18:38:05,1513795085,5, 17/12/20 18:37:57,1513795077, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:44:16,1513795456, NA, NA,3,371, NA
application_1513303661803_23311_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20080_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22159_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20954_asrd.cp.big.data.services.team.log,1513729889, 17/12/20 00:31:34,1513729894,5, 17/12/20 00:31:25,1513729885, 12g, 5G, 8.4GB, Job completed successfully, 17/12/20 00:32:10,1513729930, NA, NA,4,36, NA
application_1513303661803_25179_asrd.cp.big.data.services.team.log,1513822276, 17/12/21 02:11:24,1513822284,8, 17/12/21 02:11:08,1513822268, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/21 02:13:13,1513822393, NA, NA,8,109, NA
application_1513303661803_24450_asrd.cp.big.data.services.team.log,1513803680, 17/12/20 21:01:25,1513803685,5, 17/12/20 21:01:16,1513803676, 6G, 3G, 4.1GB, Job completed successfully, 17/12/20 21:06:49,1513804009, NA, NA,4,324, NA
application_1513303661803_22808_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24597_asrd.cp.big.data.services.team.log,1513814837, 17/12/21 00:08:43,1513814923,86, 17/12/21 00:07:12,1513814832, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/21 00:09:35,1513814975, NA, NA,5,52, NA
application_1513303661803_22651_asrd.cp.big.data.services.team.log,1513764918, 17/12/20 10:15:23,1513764923,5, 17/12/20 10:15:11,1513764911, 4G, 12G, 2.7GB, Job completed successfully, 17/12/20 10:22:21,1513765341, NA, NA,7,418, NA
application_1513303661803_20267_asrd.cp.big.data.services.team.log,1513705041, 17/12/19 17:37:42,1513705062,21, 17/12/19 17:37:10,1513705030, 15G, 10G, 10.6GB, Job completed successfully, 17/12/19 17:49:09,1513705749, NA, NA,11,687, NA
application_1513303661803_25285_asrd.cp.big.data.services.team.log,1513825247, 17/12/21 03:00:52,1513825252,5, 17/12/21 03:00:43,1513825243, 12g, 3G, 8.4GB, Job completed successfully, 17/12/21 03:01:11,1513825271, NA, NA,4,19, NA
application_1513303661803_23833_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18784_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20175_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22786_asrd.cp.big.data.services.team.log,1513773104, 17/12/20 12:31:49,1513773109,5, 17/12/20 12:31:40,1513773100, 15G, 10G, 10.6GB, Job completed successfully, 17/12/20 12:36:53,1513773413, NA, NA,4,304, NA
application_1513303661803_21425_asrd.cp.big.data.services.team.log,1513736007, 17/12/20 02:13:32,1513736012,5, 17/12/20 02:13:21,1513736001, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 02:15:28,1513736128, NA, NA,6,116, NA
application_1513303661803_22015_asrd.cp.big.data.services.team.log,1513748830, 17/12/20 05:47:15,1513748835,5, 17/12/20 05:47:07,1513748827, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 05:53:09,1513749189, NA, NA,3,354, NA
application_1513303661803_19974_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24583_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 8.4GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24522_asrd.cp.big.data.services.team.log,1513811349, 17/12/20 23:09:14,1513811354,5, 17/12/20 23:09:04,1513811344, 15G, 10G, 10.6GB, Job completed successfully, 17/12/20 23:14:00,1513811640, NA, NA,5,286, NA
application_1513303661803_17799_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19823_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22446_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_25845_asrd.cp.big.data.services.team.log,1513854065, 17/12/21 11:01:11,1513854071,6, 17/12/21 11:01:01,1513854061, 12g, 1G, 8.4GB, Job completed successfully, 17/12/21 11:03:00,1513854180, NA, NA,4,109, NA
application_1513303661803_22328_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24365_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22652_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 5.5GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24461_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19783_asrd.cp.big.data.services.team.log,1513692969, 17/12/19 14:17:14,1513693034,65, 17/12/19 14:15:56,1513692956, 20G, 10G, 14.2GB, Job completed successfully, 17/12/19 14:55:38,1513695338, NA, NA,13,2304, NA
application_1513303661803_21181_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23570_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21247_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20126_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19680_asrd.cp.big.data.services.team.log,1513688783, 17/12/19 13:06:30,1513688790,7, 17/12/19 13:06:12,1513688772, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 13:07:12,1513688832, NA, NA,11,42, NA
application_1513303661803_23017_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
log_105911929.txt,1509810122, 17/11/04 15:42:07,1509810127,5, 17/11/04 15:41:49,1509810109, 18G\r, 22G\r, 9.3GB, Job failed, NA, NA, 17/11/04 16:06:25,1509811585,13, NA,1458
application_1513303661803_22438_asrd.cp.big.data.services.team.log,1513754234, 17/12/20 07:17:18,1513754238,4, 17/12/20 07:17:11,1513754231, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 07:23:06,1513754586, NA, NA,3,348, NA
application_1513303661803_23376_asrd.cp.big.data.services.team.log,1513786252, 17/12/20 16:10:59,1513786259,7, 17/12/20 16:10:49,1513786249, 12g, 10G, 8.4GB, Job completed successfully, 17/12/20 16:12:03,1513786323, NA, NA,3,64, NA
application_1513303661803_21163_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_17980_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20868_asrd.cp.big.data.services.team.log,1513728956, 17/12/20 00:16:02,1513728962,6, 17/12/20 00:15:53,1513728953, 12g, 1G, 8.4GB, Job completed successfully, 17/12/20 00:16:27,1513728987, NA, NA,3,25, NA
application_1513303661803_24238_asrd.cp.big.data.services.team.log,1513796451, 17/12/20 19:00:56,1513796456,5, 17/12/20 19:00:47,1513796447, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 19:07:07,1513796827, NA, NA,4,371, NA
